report_quarter,sector,average close
2023Q2,Healthcare,51.74011326863237
2023Q2,Industrials,76.72737825698479
2023Q2,Other,52.69294982600886
2023Q2,Real Estate,35.90767474971292
2023Q2,Technology,65.1451379420049
2023Q2,Utilities,47.488806711988
2023Q3,Basic Materials,49.82839916929513
2023Q3,Communication Services,36.12976333442191
2023Q3,Consumer Cyclical,73.31907252280602
2023Q3,Consumer Defensive,54.01169714463047
2023Q3,Energy,35.86391633640781
2023Q3,Financial Services,34.24563375122916
2023Q3,Healthcare,44.0780799064109
2023Q3,Industrials,71.44186475389438
2023Q3,Other,50.91638274529884
2023Q3,Real Estate,32.75643607363263
2023Q3,Technology,59.22438659865494
2023Q3,Utilities,41.143419119199116
2023Q4,Basic Materials,54.91808855078815
2023Q4,Communication Services,34.8698166866473
2023Q4,Consumer Cyclical,81.59984788150135
2023Q4,Consumer Defensive,57.491328258463085
2023Q4,Energy,34.09872668464009
2023Q4,Financial Services,39.2832872371297
2023Q4,Healthcare,46.21877844447087
2023Q4,Industrials,79.11560160841925
2023Q4,Other,51.945158020423
2023Q4,Real Estate,37.03951029323637
2023Q4,Technology,64.91156080964379
2023Q4,Utilities,43.873738934000414
2024Q1,Basic Materials,58.2483061081933
2024Q1,Communication Services,34.50334613344842
2024Q1,Consumer Cyclical,87.02979715035563
2024Q1,Consumer Defensive,58.08505720666022
2024Q1,Energy,36.68425500560606
2024Q1,Financial Services,40.35973087188776
2024Q1,Healthcare,46.998927843682075
2024Q1,Industrials,84.5668546063704
2024Q1,Other,52.26817732288172
2024Q1,Real Estate,35.81894141671484
2024Q1,Technology,66.79400032232131
2024Q1,Utilities,43.66624505576988
2024Q2,Basic Materials,52.49932960938784
2024Q2,Communication Services,33.61576215296825
2024Q2,Consumer Cyclical,81.37895146153203
2024Q2,Consumer Defensive,55.37708264362489
2024Q2,Energy,36.214123920879445
2024Q2,Financial Services,38.978219704473965
2024Q2,Healthcare,41.5503181145931
2024Q2,Industrials,79.63406123471678
2024Q2,Other,49.76853472871686
2024Q2,Real Estate,34.89106838238077
2024Q2,Technology,65.85539327889802
2024Q2,Utilities,43.236920076004424
2024Q3,Basic Materials,55.44736694057261
2024Q3,Communication Services,35.46705999235166
2024Q3,Consumer Cyclical,90.58919510107204
2024Q3,Consumer Defensive,57.1550564559926
2024Q3,Energy,34.17136110299133
2024Q3,Financial Services,40.87409078786949
2024Q3,Healthcare,42.66491235985002
2024Q3,Industrials,86.98700067702613
2024Q3,Other,48.825625970706994
2024Q3,Real Estate,39.36936196450842
2024Q3,Technology,67.65462062591332
2024Q3,Utilities,49.869280438595375
2024Q4,Basic Materials,49.4774696661301
2024Q4,Communication Services,38.429672088273605
2024Q4,Consumer Cyclical,86.42235905712775
2024Q4,Consumer Defensive,54.56770145159282
2024Q4,Energy,34.62373849140372
2024Q4,Financial Services,41.03126677675361
2024Q4,Healthcare,41.50664364761872
2024Q4,Industrials,84.0438393601902
2024Q4,Other,48.61266294177655
2024Q4,Real Estate,35.90666384367191
2024Q4,Technology,68.68650646003083
2024Q4,Utilities,47.038126968421594
2025Q1,Basic Materials,47.06319840046472
2025Q1,Communication Services,34.89156673038135
2025Q1,Consumer Cyclical,76.68916717594185
2025Q1,Consumer Defensive,53.22343095927059
2025Q1,Energy,34.24731678253936
2025Q1,Financial Services,39.17961391523576
2025Q1,Healthcare,35.83963105799985
2025Q1,Industrials,76.28473038961766
2025Q1,Other,45.204453863518445
2025Q1,Real Estate,34.968432825526875
2025Q1,Technology,60.85650455995415
2025Q1,Utilities,48.42011747736761
2025Q2,Basic Materials,48.58617261790686
2025Q2,Communication Services,38.42087440797632
2025Q2,Consumer Cyclical,80.3953182509683
2025Q2,Consumer Defensive,53.56311836592537
2025Q2,Energy,32.326826106581315
2025Q2,Financial Services,39.15035570174908
2025Q2,Healthcare,34.808492551664784
2025Q2,Industrials,84.80176971938614
2025Q2,Other,46.8616786698219
2025Q2,Real Estate,33.87016091490031
2025Q2,Technology,69.39796445795722
2025Q2,Utilities,50.8977620262344
2025Q3,Basic Materials,52.56835441267702
2025Q3,Communication Services,40.79533194010502
2025Q3,Consumer Cyclical,84.65198845912504
2025Q3,Consumer Defensive,52.44686951962653
2025Q3,Energy,33.35227480001909
2025Q3,Financial Services,37.63704022422924
2025Q3,Healthcare,37.71035633575729
2025Q3,Industrials,87.6905271895602
2025Q3,Other,48.39560791796852
2025Q3,Real Estate,34.32890503536366
2025Q3,Technology,70.21408528389556
2025Q3,Utilities,54.5610094688314
2025Q4,Basic Materials,51.442243902439024
2025Q4,Communication Services,38.45785840088185
2025Q4,Consumer Cyclical,79.54757333650477
2025Q4,Consumer Defensive,48.28717073170732
2025Q4,Energy,32.85987183736936
2025Q4,Financial Services,36.121114050252196
2025Q4,Healthcare,39.865244259625456
2025Q4,Industrials,87.56846652324721
2025Q4,Other,46.28213005681029
2025Q4,Real Estate,32.83892379194969
2025Q4,Technology,68.9734028483866
2025Q4,Utilities,50.38347897199453
