,symbol,report_date,open,close,high,low,volume,country,industry,sector,close (%)
13838,AAP,2020-06-17,182.78852253717295,188.53435563059736,190.29742582924197,181.05082025505564,1382700,United States,Auto Parts,Consumer Cyclical,-7.51724512089362
13839,AAP,2020-06-18,186.96154480590724,187.3547475120798,188.78803479587,184.7038002349811,588200,United States,Auto Parts,Consumer Cyclical,-8.095884531802975
13840,AAP,2020-06-19,190.8555199928417,183.7905552399997,190.982359575478,183.63834774083617,1042900,United States,Auto Parts,Consumer Cyclical,-9.84424662283023
13841,AAP,2020-06-22,184.056918363536,192.28880727663187,193.1386324802951,183.32124878424543,1790600,United States,Auto Parts,Consumer Cyclical,-5.675554092622929
13842,AAP,2020-06-23,193.4430474786222,190.22132207966015,194.6607074719307,189.9803268726512,1210300,United States,Auto Parts,Consumer Cyclical,-6.689728544001714
13843,AAP,2020-06-24,188.43288396448835,181.38060316991,188.7499829210791,181.07618817158288,1073200,United States,Auto Parts,Consumer Cyclical,-11.026413161247218
13844,AAP,2020-06-25,179.92194796959254,181.26644754553732,182.0021171248279,177.6642033986664,920600,United States,Auto Parts,Consumer Cyclical,-11.082410523593287
13845,AAP,2020-06-26,181.3425512951191,177.56273173255738,182.48410753884585,177.05537340201215,1079400,United States,Auto Parts,Consumer Cyclical,-12.899213835265714
13846,AAP,2020-06-29,179.46532547210188,181.06350421331925,182.2177444153096,176.00260486613084,676500,United States,Auto Parts,Consumer Cyclical,-11.181961389986306
13847,AAP,2020-06-30,180.6576175488831,180.68298546541035,181.8372256674007,178.1208258961571,746100,United States,Auto Parts,Consumer Cyclical,-11.368619264473196
13848,AAP,2020-07-01,179.65323728866048,179.13583192698334,181.3064105174336,176.25855333034002,709500,United States,Auto Parts,Consumer Cyclical,-12.127552674652502
13849,AAP,2020-07-02,182.02573016659449,178.9970158543383,183.754621253174,177.05359083730727,467000,United States,Auto Parts,Consumer Cyclical,-12.195646857151882
13850,AAP,2020-07-06,181.91215337988484,175.36255867963092,182.11406766736857,174.4665640289218,841300,United States,Auto Parts,Consumer Cyclical,-13.978476362590415
13851,AAP,2020-07-07,174.05011581098657,172.48528008298757,175.36255867963092,172.22026758066517,799000,United States,Auto Parts,Consumer Cyclical,-15.389883054395934
13852,AAP,2020-07-08,171.99311400724594,172.19502829472967,172.83863008608412,167.75291397008735,1361200,United States,Auto Parts,Consumer Cyclical,-15.53226179962194
13853,AAP,2020-07-09,171.2233157862142,168.78772469344153,172.64933544156813,166.98311574905557,543000,United States,Auto Parts,Consumer Cyclical,-17.203664460970554
13854,AAP,2020-07-10,168.23246040286125,169.6710997011829,170.08754791911812,166.45309074441076,614900,United States,Auto Parts,Consumer Cyclical,-16.77033784506536
13855,AAP,2020-07-13,170.6428122096984,170.52923542298882,176.04401939988855,169.16631398247355,1064000,United States,Auto Parts,Consumer Cyclical,-16.34939198961459
13856,AAP,2020-07-14,170.32732113550506,174.88301224685705,176.14497654363043,168.5227121911191,1069800,United States,Auto Parts,Consumer Cyclical,-14.213710811224662
13857,AAP,2020-07-15,177.684572985694,181.31903016040133,181.6849998064656,176.9526336935654,912000,United States,Auto Parts,Consumer Cyclical,-11.056616895343916
13858,AAP,2020-07-16,181.0540176580789,183.4265105360129,186.2154516318821,180.43565515266,941400,United States,Auto Parts,Consumer Cyclical,-10.022823397398662
13859,AAP,2020-07-17,184.4991801882703,182.808148030594,184.52441947420576,180.49875336749864,386500,United States,Auto Parts,Consumer Cyclical,-10.326152028532286
13860,AAP,2020-07-20,183.23721589149687,182.85862660246488,183.81771946801263,180.42303550969223,417700,United States,Auto Parts,Consumer Cyclical,-10.30139050762343
13861,AAP,2020-07-21,183.4643694649161,185.9882980584629,186.8716730662043,183.02268196104544,756100,United States,Auto Parts,Consumer Cyclical,-8.766176211273574
13862,AAP,2020-07-22,185.38255519601168,188.5374659379452,189.38298201678333,185.38255519601168,493800,United States,Auto Parts,Consumer Cyclical,-7.515719405375703
13863,AAP,2020-07-23,189.2946445160092,187.23764271226852,190.4177927401375,185.48351233975356,762500,United States,Auto Parts,Consumer Cyclical,-8.15332856877908
13864,AAP,2020-07-24,187.06096771072023,185.84948198581785,189.0043927277513,185.60970876943088,755800,United States,Auto Parts,Consumer Cyclical,-8.834270393772954
13865,AAP,2020-07-27,186.0009177014306,185.29421769523756,186.6192802068496,184.2467873289156,771300,United States,Auto Parts,Consumer Cyclical,-9.106647123770518
13866,AAP,2020-07-28,185.5844694834954,184.48656054530252,186.8464337802688,184.1836891140769,808500,United States,Auto Parts,Consumer Cyclical,-9.50283145831242
13867,AAP,2020-07-29,185.0165855499474,187.0357284247848,187.7929070028489,184.4108426874961,1249400,United States,Auto Parts,Consumer Cyclical,-8.252374652414549
13868,AAP,2020-07-30,194.48131777574787,192.91648204774884,195.3142142116183,187.69194985910696,1350800,United States,Auto Parts,Consumer Cyclical,-5.3676574665313534
13869,AAP,2020-07-31,192.6514695454264,189.47131951755745,193.52222491020007,186.2028319889144,829000,United States,Auto Parts,Consumer Cyclical,-7.057631268561651
